2024-06-08 16:17:22,642 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Current SDK version is 0.17.1
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Configure stats pid to 290289
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Loading settings from /home/yl3427/.config/wandb/settings
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Loading settings from /home/yl3427/cylab/selfCorrectionAgent/wandb/settings
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/test_memory.py', 'program_abspath': '/home/yl3427/cylab/selfCorrectionAgent/src/test_memory.py', 'program': '/home/yl3427/cylab/selfCorrectionAgent/src/test_memory.py'}
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:_log_setup():520] Logging user logs to /home/yl3427/cylab/selfCorrectionAgent/wandb/run-20240608_161722-yl5e4qxh/logs/debug.log
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:_log_setup():521] Logging internal logs to /home/yl3427/cylab/selfCorrectionAgent/wandb/run-20240608_161722-yl5e4qxh/logs/debug-internal.log
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:init():560] calling init triggers
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'class': 'MemoryAgent'}
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:init():610] starting backend
2024-06-08 16:17:22,643 INFO    MainThread:290289 [wandb_init.py:init():614] setting up manager
2024-06-08 16:17:22,645 INFO    MainThread:290289 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-08 16:17:22,647 INFO    MainThread:290289 [wandb_init.py:init():622] backend started and connected
2024-06-08 16:17:22,651 INFO    MainThread:290289 [wandb_init.py:init():711] updated telemetry
2024-06-08 16:17:22,674 INFO    MainThread:290289 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-08 16:17:22,903 INFO    MainThread:290289 [wandb_run.py:_on_init():2402] communicating current version
2024-06-08 16:17:22,965 INFO    MainThread:290289 [wandb_run.py:_on_init():2411] got version response 
2024-06-08 16:17:22,966 INFO    MainThread:290289 [wandb_init.py:init():795] starting run threads in backend
2024-06-08 16:17:27,848 INFO    MainThread:290289 [wandb_run.py:_console_start():2380] atexit reg
2024-06-08 16:17:27,848 INFO    MainThread:290289 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-08 16:17:27,848 INFO    MainThread:290289 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-08 16:17:27,848 INFO    MainThread:290289 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-08 16:17:27,850 INFO    MainThread:290289 [wandb_init.py:init():838] run started, returning control to user process
2024-06-08 16:20:04,731 WARNING MsgRouterThr:290289 [router.py:message_loop():77] message_loop has been closed
