tcga,printable,input_csv,output_csv,method,task,model,seed,missing_before,missing_after,repaired,log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,56,52,4,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0,0,0,no_missing
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,27,18,9,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,3,1,2,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.csv,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,21,9,12,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.csv,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,2,0,2,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,7,2,5,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,1,0,1,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0,0,0,no_missing
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0,0,0,no_missing
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_140723.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_140723.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,21,16,5,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_095649.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_095649.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,2,2,0,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_130518.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_130518.csv,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,2,6,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_085627.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_085627.csv,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,1,0,1,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_120220.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_120220.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,1,7,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_074557.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_074557.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,3,1,2,ok
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BRCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_014126.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BRCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_014126.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,37,10,27,ok
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BRCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_150326.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BRCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_150326.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,10,3,7,ok
BRCA,Breast Invasive Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs2/BRCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_133732.csv,/home/yl3427/cylab/selfCorrectionAgent/runs3/BRCA_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250910_133732.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,23,6,17,ok
