tcga,printable,input_csv,output_csv,method,task,model,seed,missing_before,missing_after,repaired,log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,59,56,3,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,3,1,2,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.csv,kewrag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,41,28,13,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.csv,kewrag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,4,4,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.csv,rag,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,51,30,21,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.csv,rag,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,19,3,16,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.csv,zscot,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,20,8,12,ok
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.csv,zscot,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,8,3,5,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_104305.csv,kewltm,n,mistralai/Mixtral-8x7B-Instruct-v0.1,42,17,1,16,ok
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.csv,/home/yl3427/cylab/selfCorrectionAgent/runs2/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.csv,kewltm,t,mistralai/Mixtral-8x7B-Instruct-v0.1,42,115,56,59,ok
