tcga,printable,dataset,task,method,context_json,model,seed,train_fraction,computed_train_size,edit_threshold,results_csv,log_file
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_044904.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_045644.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_050540.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_054029.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewltm__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_055701.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__zscot__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_060258.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__rag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_062852.log
ACC,Adrenocortical Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/ACC_T14N03.csv,n,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_ACC.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,4,80,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/ACC_T14N03__kewrag__n__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_063723.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewltm,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewltm__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_064246.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,zscot,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_074557.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__zscot__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_074557.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,rag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_085627.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__rag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_085627.log
BLCA,Bladder Urothelial Carcinoma,/home/yl3427/cylab/selfCorrectionAgent/per_cancer_type/BLCA_T14N03.csv,t,kewrag,/home/yl3427/cylab/selfCorrectionAgent/rag/context/context_BLCA.json,mistralai/Mixtral-8x7B-Instruct-v0.1,42,0.05,17,80,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_095649.csv,/home/yl3427/cylab/selfCorrectionAgent/runs/BLCA_T14N03__kewrag__t__mistralai_Mixtral-8x7B-Instruct-v0.1__seed42__20250909_095649.log
